"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
46167,09/26/2014,"R3","E4A","15/05/14-26/09/14 C1"
178145,12/30/2015,"H5","E8","22/12/11-12/02/13 V2; 12/02/13-30/07/15 V2; 30/07/15-25/08/15 J1; 25/08/15-30/12/15 V2"
200159,03/06/2015,"A4","E11","20/03/13-15/08/13 C1; 15/08/13-06/03/15 E1"
280937,07/03/2014,"U6","E4A","29/06/14-03/07/14 L1"
354654,09/08/2012,"Q2","E4","28/07/12-30/07/12 L1; 30/07/12-08/09/12 V2"
368837,03/06/2013,"K1","E8","04/08/08-20/07/09 C1; 20/07/09-06/03/13 C2"
426390,08/04/2016,"Q2","E8","23/09/04-22/12/05 V2; 22/12/05-28/06/06 C1; 28/06/06-04/08/16 C2"
526031,12/16/2016,"U6","E4A","09/09/15-11/09/15 L1; 11/09/15-18/09/15 L2; 18/09/15-16/12/16 C1"
567068,12/27/2014,"Q2","E44","20/05/13-22/05/13 L1; 22/05/13-24/12/13 V2; 24/12/13-27/12/14 C1"
612372,08/11/2016,"U6","E4A","28/06/16-11/08/16 L1"
612649,09/18/2016,"K2","E8","25/04/09-10/05/10 V2; 10/05/10-18/09/16 C2"
729188,10/28/2015,"Q1","E43","31/12/09-14/01/10 V2; 14/01/10-20/10/11 C1; 20/10/11-28/10/15 C2"
806629,12/19/2016,"P1","E4B","17/12/10-23/12/10 V2; 23/12/10-14/12/11 C1; 14/12/11-19/12/16 C2"
956496,02/13/2015,"U6","E44","24/06/14-30/07/14 V2; 30/07/14-13/02/15 C1"
1130867,02/14/2015,"U6","E44","30/05/14-30/07/14 L1; 30/07/14-30/01/15 C1; 30/01/15-14/02/15 V2"
1149777,01/31/2014,"R3","E4","04/03/13-08/11/13 V2; 08/11/13-31/01/14 C1"
1191881,02/18/2015,"A4","E11","01/07/11-07/07/11 L2; 07/07/11-16/05/12 C1; 16/05/12-18/02/15 E1"
1195551,12/22/2014,"U6","E4","21/12/14-22/12/14 L1"
1332195,01/23/2015,"A4","E11","28/06/11-25/05/12 C1; 25/05/12-23/01/15 E1"
1744440,08/06/2015,"K1","E4A","15/06/15-17/06/15 L1; 17/06/15-18/06/15 L1; 18/06/15-06/08/15 V2"
1744440,10/21/2015,"K2","E4B","16/09/15-21/10/15 J1"
1744440,05/19/2016,"K2","E9","30/11/15-19/05/16 V2"
1761281,01/01/2013,"H5","E8","20/03/09-01/01/13 V2"
1781942,06/21/2013,"M3","E9","18/01/13-21/06/13 V2"
1781942,08/23/2013,"M3","E9","19/07/13-23/08/13 V2"
1857932,02/21/2014,"H5","E8","02/05/02-04/03/03 C1; 04/03/03-21/02/14 C2"
1983778,03/16/2016,"Q2","E8","05/02/14-16/03/16 V2"
2294039,08/14/2012,"Q2","E8","10/09/08-14/08/12 V2"
2348252,08/29/2013,"Q2","E4","30/07/13-29/08/13 V2"
2385607,06/03/2016,"U6","E4B","02/06/16-03/06/16 L1"
2427950,11/03/2012,"Q1","E8","29/08/00-05/09/00 L2; 05/09/00-27/08/02 C1; 27/08/02-03/11/12 C2"
2607590,05/03/2012,"Q2","E4","15/04/11-03/05/12 C1"
2651289,08/08/2013,"Q1","E4","23/08/12-08/08/13 C1"
2897713,05/25/2012,"Q1","E43","13/10/10-25/05/12 C1"
2901591,08/22/2016,"K1","E8","25/06/16-22/08/16 J1"
2924099,09/11/2012,"P1","E4","09/02/07-12/02/07 L1; 12/02/07-11/04/07 V2; 11/04/07-05/03/09 C1; 05/03/09-11/09/12 C2"
3049592,01/29/2015,"A6","E11","02/07/13-15/04/14 C1; 15/04/14-29/01/15 E1"
3105345,12/12/2013,"A4","E11","22/01/10-05/05/10 V2; 05/05/10-12/10/11 C1; 12/10/11-12/12/13 E1"
3140480,01/17/2016,"H5","E8","28/11/13-17/01/16 V2"
3241489,02/16/2017,"U6","E4A","14/02/17-16/02/17 V2"
3371639,10/28/2015,"H5","E8","26/09/11-07/10/11 V2; 07/10/11-22/02/12 C1; 22/02/12-28/10/15 C2"
3397958,06/13/2014,"U6","E4A","02/06/14-13/06/14 L1"
3435224,07/22/2016,"U6","E4A","06/08/15-07/08/15 L1; 07/08/15-22/07/16 V2"
3437648,12/17/2014,"H5","E4A","24/10/14-17/12/14 V2"
3466753,07/15/2015,"K2","E8","04/06/10-27/07/12 C1; 27/07/12-15/07/15 C2"
3535860,08/13/2012,"Q2","E8","22/09/11-23/09/11 L1; 23/09/11-03/10/11 L2; 03/10/11-13/08/12 C1"
3539726,06/06/2012,"Q2","E8","07/08/06-10/08/06 L1; 10/08/06-24/08/06 V2; 24/08/06-31/01/08 C1; 31/01/08-06/06/12 C2"
3597253,11/05/2012,"Q1","E4","22/02/11-05/11/12 C1"
3643008,06/04/2012,"Q2","E8","18/07/94-04/06/12 C2"
3672016,06/30/2015,"U6","E8","26/06/15-30/06/15 V2"
3796275,12/08/2014,"H5","E8","19/10/07-09/11/07 V2; 09/11/07-15/09/09 C1; 15/09/09-08/12/14 C2"
3896478,01/28/2016,"H5","E8","13/01/12-19/01/12 V2; 19/01/12-28/01/16 C2"
3907462,02/09/2015,"P2","E5","11/04/14-09/02/15 V2"
4165640,05/22/2015,"U6","E44","18/09/14-22/05/15 V2"
4286480,12/19/2012,"A6","E11","25/04/09-28/04/09 L1; 28/04/09-21/05/10 V2; 21/05/10-19/12/12 E1"
4516026,12/18/2015,"U6","E4A","13/09/15-15/09/15 L1; 15/09/15-18/12/15 V2"
4542489,10/29/2012,"K2","E8","15/09/12-29/10/12 J1"
4542489,05/15/2014,"K2","E4A","11/03/14-27/03/14 J1; 27/03/14-15/05/14 V2"
4547905,09/27/2013,"Q2","E4","08/06/12-11/06/12 L1; 11/06/12-27/09/13 V2"
4730729,09/11/2014,"Q2","E8","01/08/03-27/08/03 V2; 27/08/03-05/05/04 C1; 05/05/04-11/09/14 C2"
4771625,04/15/2015,"Q2","E8","12/11/12-15/04/15 V2"
